start date,end date,data source,R,t0,P2P raw,P2P corrected,P2P simple,P2P no t0,degrees per lb,offset,data points,temp raw ptp,temp corr ptp,percentage correct after match
2024-12-11,2024-12-13,temp,0.0025,14.5,0.8487603482371853,0.3367805414811684,0.5372594904963108,0.7803488046879679,-0.6768644609584445,84.95541941101729,72,22.0465,0.9652712691501506,0.11180124223602485
2024-12-12,2024-12-14,temp,0.0025,14.0,1.2475774068006658,0.8282103382112709,0.8968312746853542,1.3583903441276064,-0.3712482428825996,68.93492511191916,144,25.5601,1.6410286776131287,0.2236024844720497
2024-12-13,2024-12-15,temp,0.0025,-1.5,1.4169771189424267,0.7587263932382058,1.3132302458175928,0.7737939836580594,-0.5683050312043828,76.65447823919692,137,33.6103,1.8654131328571992,0.2127329192546584
2024-12-14,2024-12-16,temp,0.0067999999999999935,-12.0,2.2064042295621746,2.198621919372208,2.587336247581746,2.469524289543486,0.10515336423467701,46.28983125537615,110,34.9617,14.219605443505237,0.17080745341614906
2024-12-15,2024-12-17,temp,0.0025,-2.5,2.1695613920495305,0.8943811127263075,2.419910925803393,1.4868426998601336,-1.13061026839931,110.73455265108106,168,32.2203,0.7849129456510298,0.2608695652173913
2024-12-16,2024-12-18,temp,0.014699999999999979,-1.5,1.117440358413937,0.4080760451005574,1.0719591283817564,0.4282688495612774,-0.031828877377330485,51.57775667875747,605,48.436600000000006,33.959934858628294,0.9394409937888198
2024-12-17,2024-12-19,temp,0.01489999999999998,1.0,1.2557004217204195,0.9903691384551365,1.198180762072866,1.0026461643146902,-0.023037005539680477,51.14892908177209,1058,48.436600000000006,34.66727098292583,1.6428571428571428
2024-12-18,2024-12-20,temp,0.011999999999999985,-12.0,1.068461267276568,0.9488144258510758,1.0328560102864799,1.0158467005435057,-0.03113779930337796,51.53139947807111,1147,36.892199999999995,24.7161946616986,1.781055900621118
2024-12-19,2024-12-21,temp,0.002999999999999999,5.5,1.3711687473646776,0.5148006758218315,1.4606279424752557,0.6273981592990836,-0.10340365130850548,54.896259922182395,1232,43.16629999999999,12.908489404225534,1.9130434782608696
2024-12-20,2024-12-22,temp,0.004099999999999998,-5.0,1.3663052645543488,0.4644692100553556,1.406406553567976,0.5515065865917492,-0.09808346286456243,54.50116113181833,1254,45.869,14.948015780000759,1.9472049689440993
2024-12-21,2024-12-23,temp,0.0025,11.0,1.812428398016074,1.4142168538997808,1.7404967772285218,1.460878536340772,-0.0819253293641609,54.45923905033673,859,45.830400000000004,16.12625029061396,1.3338509316770186
2024-12-22,2024-12-24,temp,0.0025,-0.5,1.8150348082924168,1.1286137815195687,1.7005321620133884,1.1483000140442527,-0.24004840996669882,63.56431783654695,367,44.6721,6.7663255926036925,0.5698757763975155
2024-12-23,2024-12-25,temp,0.013299999999999982,14.5,2.59337608275181,0.46350687342275876,2.0672408695804307,1.0414263659063963,-0.08611518779646184,54.68879710263321,691,33.6489,29.34220179359461,1.0729813664596273
2024-12-24,2024-12-26,temp,0.01489999999999998,-2.5,2.0655962128669287,0.7558065598039718,1.425419983149439,0.764536105641973,-0.13279473329588826,56.54584732282902,1183,17.7994,11.144343405445376,1.8369565217391304
2024-12-25,2024-12-27,temp,0.0025,-7.0,1.8501201661531823,0.602887409036363,1.7136898788106123,1.614812999316868,-0.23498538527385746,60.89101478110032,1176,21.7376,7.5101823784159265,1.826086956521739
2024-12-26,2024-12-28,temp,0.0025,-0.5,1.458415920127777,0.693597855406729,1.2016365307348167,0.7084524055816743,-0.22355492191930157,60.80748246184188,1164,24.363099999999996,7.863920683014619,1.8074534161490683
2024-12-27,2024-12-29,temp,0.01489999999999998,7.5,1.151876806966321,0.5850160133620292,0.6509378238866148,0.6185984267757547,-0.03921835424244623,52.15313099863831,955,23.976999999999997,16.43808132768263,1.4829192546583851
2024-12-28,2024-12-30,temp,0.0025,-7.0,53.4536017860331,6.30129494835721,30.113275830705028,18.637797769288532,9.975907491040283,-462.0319423414626,397,31.0041,2.103730019586436,0.6164596273291926
2024-12-29,2024-12-31,temp,0.0025,14.5,60.93719328823793,2.050704244688447,29.12189770641978,8.977687328238282,-25.906717682116405,1831.276752539366,238,21.235600000000005,1.317267253284271,0.3695652173913043
2024-12-30,2025-01-01,temp,0.0025,14.5,52.048817540069216,39.73639558983952,48.04796112401093,46.35139465497595,-0.23545318991147549,64.49204804946496,822,40.251200000000004,18.717828228668658,1.2763975155279503
2024-12-31,2025-01-02,temp,0.00879999999999999,-7.0,1.5913768919439804,0.4208315623671979,1.2535761190830925,0.48729158828828645,-0.056680074384769276,52.56013847109995,1210,35.9076,26.479767732244987,1.8788819875776397
2025-01-01,2025-01-03,temp,0.007799999999999991,-6.5,2.1190229461564556,0.4749528561741627,1.482572647944032,0.5447212963840258,-0.08555240104045225,53.44552337872349,1217,44.537000000000006,26.07608661108791,1.889751552795031
2025-01-02,2025-01-04,temp,0.012799999999999983,14.5,2.167136297447584,1.5485092336713322,2.1188976177532197,1.5807740922746376,-0.04350064175400596,52.13271864077724,932,43.4559,30.97552388575059,1.4472049689440993
2025-01-03,2025-01-05,temp,0.0054999999999999945,-0.5,2.0675738876040697,1.291298529360013,2.016781732614085,1.2933395880484468,-0.10209398448822897,55.31180570180603,922,33.06969999999999,13.803589340786331,1.4316770186335404
2025-01-04,2025-01-06,temp,0.0025,-12.0,1.4977961800941628,1.394789873048076,1.49328989885732,1.5145801041458924,-0.056359535966345804,52.64145460498073,1224,40.830299999999994,11.31195535184758,1.9006211180124224
2025-01-05,2025-01-07,temp,0.014299999999999981,14.5,1.0785784607934303,0.8552134581426643,1.059614766806483,0.871300654231824,-0.013132710021760911,50.56949788157434,1223,44.55629999999999,57.68174774368596,1.8990683229813665
2025-01-06,2025-01-08,temp,0.003599999999999998,-0.5,0.9696919044369636,0.2507145386029279,0.9949976769873459,0.25405296888776974,-0.10286621108232209,53.06956058538431,1221,31.6026,9.518226347264555,1.8959627329192548
2025-01-07,2025-01-09,temp,0.0025,-6.5,0.9534354323186349,0.518401069714038,0.9529937642392525,0.5719073691286809,-0.13110024753377056,54.02467350861073,1239,23.668200000000002,6.031860961568842,1.923913043478261
2025-01-08,2025-01-10,temp,0.0025,3.0,1.4860144009274734,0.9295697833028171,1.5371913832767632,1.1345587938090702,-0.17059458753023615,55.46553639267263,1242,21.8149,7.099755846287483,1.9285714285714286
2025-01-09,2025-01-11,temp,0.01479999999999998,3.0,1.52113927927374,1.087653154234168,1.2855409585454112,1.125160512053867,-0.12642618340350112,53.936408737670455,1228,14.0928,9.440079295527728,1.906832298136646
2025-01-10,2025-01-12,temp,0.0042999999999999965,-12.0,2.8056060340427607,2.1381232191773023,2.6994843507041324,2.7698059912799593,-0.08646763218604088,52.60231340858504,1242,39.8073,28.504924780977284,1.9285714285714286
