start date,end date,data source,R,t0,P2P raw,P2P corrected,P2P simple,P2P no t0,degrees per lb,offset,data points,temp raw ptp,temp corr ptp,percentage correct after match,avg cal val
2024-12-20,2024-12-21,temp,0.01479999999999998,10.5,0.6496313379994021,0.03955726892900202,0.13672031017685526,0.17066727433268625,-0.019439809160339622,51.28662387545667,264,30.347700000000003,33.31289548758009,0.40993788819875776,1182794.8484848484
2024-12-21,2024-12-22,temp,0.007799999999999991,12.0,1.118182850762814,0.14391156064316846,1.144718763858144,0.6208029885507642,-0.056545550343625336,52.669945430902445,470,45.830400000000004,21.035104908844524,0.7298136645962733,1177684.0425531915
2024-12-22,2024-12-23,temp,0.0025,4.0,1.8099194604651387,0.9509328087171198,1.8636813050682832,1.039267949813727,-0.42396807720895924,73.47211957751571,267,39.401799999999994,4.6221629300588205,0.41459627329192544,1177582.509363296
2024-12-23,2024-12-24,temp,0.0025,-8.5,51.547711740180056,31.563937889809555,44.26927541085549,32.65298786213242,-0.44645881098025847,79.85441409994357,222,31.1199,5.99995386614475,0.3447204968944099,1169021.3153153153
2024-12-24,2024-12-25,temp,0.0038999999999999977,0.5,0.6715444872493066,0.2737239050375422,0.6423386259931974,0.32965384277229504,-0.3604533295413401,67.02384911152684,595,5.8688,1.5887195453054659,0.9239130434782609,1211329.4285714286
2024-12-25,2024-12-26,temp,0.0025,0.0,1.347952105005099,0.49040209997797746,1.3463070419697516,0.49040209997797746,-0.3236660128594027,65.53108607609005,582,20.9075,3.2082532843823515,0.9037267080745341,1191723.5738831614
2024-12-26,2024-12-27,temp,0.0042999999999999965,1.0,1.111112380926805,0.14945237463502536,1.1754033560762878,0.2436087345364868,-0.17592844528239224,58.36264238845222,594,19.6334,6.225723370070639,0.922360248447205,1178415.9932659932
2024-12-27,2024-12-28,temp,0.01489999999999998,4.5,0.776861864335622,0.5803840337304464,0.500080344553048,0.5837430449604213,-0.032232266413111006,51.82078855283451,573,22.548499999999997,15.996753683208112,0.889751552795031,1165105.8464223386
2024-12-28,2024-12-29,temp,0.0025,-6.0,53.819989801304565,2.9077376260872683,23.698469646265274,9.67027027128102,21.94156510882703,-1014.8461099809156,249,13.706600000000002,0.9915129082757161,0.38664596273291924,1099291.931433735
2024-12-30,2024-12-31,temp,0.0025,6.0,53.16704397804769,14.881162324602514,65.8564307630207,23.87675703893163,3.649584394821392,-179.36626521200847,365,28.417100000000005,3.397644302656232,0.5667701863354038,1100608.8053863014
2024-12-31,2025-01-01,temp,0.0025,0.5,0.8779537390661716,0.21301426818331493,0.8840073108140984,0.23678592419276612,-0.21485268296476878,59.61826580120926,607,25.0002,3.518746555962366,0.9425465838509317,1177005.8649093905
2025-01-01,2025-01-02,temp,0.003699999999999998,5.0,1.0934774265924858,0.0873358809915814,1.090425647756966,0.5789489160783674,-0.16664731151151166,56.39984373938389,611,24.2473,6.6758935576110545,0.9487577639751553,1184594.5499181668
2025-01-02,2025-01-03,temp,0.013199999999999983,10.0,1.74113691723214,0.3865612980012756,1.5203131766082407,0.5491296297462824,-0.06099267704100783,52.866870299103375,558,43.4559,30.919984461474428,0.8664596273291926,1171743.4050179212
2025-01-03,2025-01-04,temp,0.0025,8.0,1.628087044399642,0.9768587815856193,1.6330465229089413,1.3286223628072875,-0.4256408481980934,72.34218790540008,371,29.903699999999994,3.024943628295688,0.5760869565217391,1180190.215633423
2024-12-18,2024-12-19,thermo,0.008099999999999991,-12.0,0.8935922950316808,0.19343181539596088,0.8906002984609671,0.8154544159278316,-0.0755392516733076,53.42986763964839,596,19.4625,13.485972412459702,0.9254658385093167,1170981.5604026846
2024-12-19,2024-12-20,thermo,0.01489999999999998,7.0,0.9521328394601625,0.13713077580137423,0.6505709229893171,0.32648652222736985,-0.03626796070949789,51.87715010777471,561,32.175,25.581485370839182,0.8711180124223602,1170006.4884135472
2024-12-20,2024-12-21,thermo,0.007799999999999991,7.5,1.3664507691068408,0.21911355099295093,1.3139267274565398,0.5124861814933297,-0.07714953091786902,53.57977728530943,581,32.175,18.519864232148613,0.9021739130434783,1175223.752151463
2024-12-21,2024-12-22,thermo,0.011499999999999984,9.5,1.118182850762814,0.16794340299244226,0.8740495058955418,0.49942692289827306,-0.051023428436057845,52.42410133852266,470,34.425,23.772937889383513,0.7298136645962733,1177684.0425531915
2024-12-22,2024-12-23,thermo,0.0025,-1.5,1.8100405055935909,0.9841108443320508,1.6561659389307621,1.0876356895576649,-0.3956322818269648,71.49236537050491,266,34.875,5.118435419823079,0.41304347826086957,1177503.7593984962
2024-12-23,2024-12-24,thermo,0.0025,-4.5,51.547711740180056,30.723391318974528,44.450593945565366,31.1351747862523,-0.46117562612105945,81.99907104075967,222,28.125,5.885024209168321,0.3447204968944099,1169021.3153153153
2024-12-24,2024-12-25,thermo,0.005799999999999994,0.5,0.6715391026251751,0.29263603702978,0.5634518975555594,0.3433023198695082,-0.25492679837010845,62.44555803330208,594,5.399999999999999,2.2628442584378803,0.922360248447205,1211339.1414141415
2024-12-25,2024-12-26,thermo,0.0025,0.0,1.347952105005099,0.46539026715633014,1.347951564313263,0.46539026715633014,-0.3413988426448076,66.92884134485195,582,16.650000000000006,3.165023581559616,0.9037267080745341,1191723.5738831614
2024-12-26,2024-12-27,thermo,0.005799999999999994,2.0,1.111112380926805,0.13936805994299561,1.073849048625874,0.29344648783876437,-0.1560683138108594,57.70149555746994,594,15.1875,7.216082712045711,0.922360248447205,1178415.9932659932
2024-12-27,2024-12-28,thermo,0.01489999999999998,6.0,0.776861864335622,0.6016277126640688,0.5054947295908008,0.6050796426508569,-0.030326235253284813,51.75955682815275,573,21.262499999999996,15.831856822963964,0.889751552795031,1165105.8464223386
2024-12-28,2024-12-29,thermo,0.0025,-6.0,53.819989801304565,3.1483746081030333,18.99772814486132,10.01037866888312,20.246548692727966,-969.5998851642911,249,16.762499999999996,1.0859005385283282,0.38664596273291924,1099291.931433735
2024-12-30,2024-12-31,thermo,0.0025,8.0,53.16718029661259,13.857809947629363,84.70857892482346,29.302969945281255,3.7901447769974035,-194.13694238786124,365,24.637499999999996,3.1521844453393513,0.5667701863354038,1100605.983468493
2024-12-31,2025-01-01,thermo,0.004699999999999996,1.0,0.877983028825227,0.07355476944132988,0.8397682875887895,0.14405033031025738,-0.11306290915381041,55.33142683108731,597,20.700000000000003,7.312638131892484,0.9270186335403726,1176966.5996649917
2025-01-01,2025-01-02,thermo,0.004999999999999996,5.5,1.0933860967450784,0.08852958772553166,1.052012492748375,0.5595347348855313,-0.1304608475038852,55.27632499408058,606,21.375,8.543240438281686,0.9409937888198758,1184693.498349835
2025-01-02,2025-01-03,thermo,0.01489999999999998,7.5,1.7410830506770338,0.40706800434103485,1.3049849651895542,0.4465471180370528,-0.05806054728312871,52.791903691038925,554,38.474999999999994,31.749369951961945,0.860248447204969,1171779.6570397113
2025-01-03,2025-01-04,thermo,0.0025,6.0,1.627992306041854,0.9343266275282147,1.639366984103141,1.1426719269671395,-0.47318292219321273,75.12150101719509,371,29.587500000000006,2.8269348259672142,0.5760869565217391,1180258.8948787062
